method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,3,1.5,2023-Q3,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,1.6939295064634434,1.0,0.3333333333333333,1.0,0.3333333333333333
Poisson-MDSS,3,1.5,2023-Q4,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,17.556341699622788,0.75,,,
Poisson-MDSS,3,1.5,2023-Q4,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,10.896858348470518,0.8125,0.08333333333333333,0.3333333333333333,0.09999999999999999
Poisson-MDSS,3,1.5,2024-Q1,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,29.508703147087108,0.5625,,,
Poisson-MDSS,3,1.5,2024-Q1,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,21.445967052706003,0.625,0.07142857142857142,0.3333333333333333,0.08333333333333333
Poisson-MDSS,3,1.5,2024-Q2,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,7.976165203213562,0.75,,,
Poisson-MDSS,3,1.5,2024-Q2,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,90.59392573015363,0.0625,0.15384615384615385,0.6666666666666666,0.16666666666666669
Poisson-MDSS,3,1.5,2024-Q3,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,78.80532234857361,0.625,,,
Poisson-MDSS,3,1.5,2024-Q3,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,1.109128949821756,1.0,0.0,0.0,
Poisson-MDSS,3,1.5,2024-Q4,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,101.00600869734004,0.3125,,,
